6000 ,    7||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||
5940 ,    7||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  60 ,    0||
5940 ,    7||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  59 ,    0||
5940 ,    7||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  59 ,    1||
5939 ,    7||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  58 ,    1||
5937 ,    9||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  57 ,    3||
5934 ,   11||   0 ,    0||   0 ,    0||  59 ,    0||   0 ,    0||   0 ,    0||
5934 ,   11||   0 ,    0||   0 ,    0||  59 ,    0||   0 ,    0||   0 ,    0||
5934 ,   11||   0 ,    0||   0 ,    0||  59 ,    0||   0 ,    0||   0 ,    0||
5471 ,   10||   0 ,    0||   0 ,    0|| 521 ,    2||   0 ,    0||   0 ,    0||
5137 ,    9|| 438 ,    1||   0 ,    0|| 413 ,    5||   0 ,    0||   0 ,    0||
4896 ,   10|| 761 ,    1||   0 ,    0|| 323 ,   11||   0 ,    0||   0 ,    0||
4721 ,   11||1000 ,    2||   0 ,    0|| 246 ,   22||   0 ,    0||   0 ,    0||
4592 ,   15||1177 ,    3||   0 ,    0|| 177 ,   36||   0 ,    0||   0 ,    0||
4495 ,   21||1246 ,    5||  61 ,    0|| 118 ,   52||   0 ,    0||   0 ,    0||
4420 ,   30||1295 ,    7|| 109 ,    0||  75 ,   58||   0 ,    0||   0 ,    0||
4361 ,   40||1328 ,    9|| 146 ,    1||  48 ,   57||   0 ,    0||   0 ,    0||
4599 ,   57||1109 ,   11|| 138 ,    1||  27 ,   45||   0 ,    0||   0 ,    0||
4750 ,   70|| 774 ,    9|| 326 ,    4||  15 ,   34||   0 ,    0||   0 ,    0||
4845 ,   79|| 540 ,    8|| 464 ,    8||   8 ,   25||   0 ,    0||   0 ,    0||
4904 ,   86|| 377 ,    6|| 562 ,   14||   5 ,   18||   0 ,    0||   0 ,    0||
5181 ,   99|| 226 ,    4|| 430 ,   16||   3 ,   11||   0 ,    0||   0 ,    0||
5337 ,  107|| 136 ,    2|| 355 ,   17||   2 ,    6||   0 ,    0||   0 ,    0||
5424 ,  114||  81 ,    1|| 314 ,   17||   1 ,    4||   0 ,    0||   0 ,    0||
5471 ,  120||  49 ,    1|| 292 ,   18||   1 ,    2||   0 ,    0||   0 ,    0||
5753 ,  138||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  53 ,    2||
5744 ,  138||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  53 ,    6||
5735 ,  141||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  47 ,   12||
5720 ,  150||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  46 ,   13||
5703 ,  160||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  46 ,   13||
5687 ,  170||   0 ,    0||   0 ,    0||  57 ,    2||   0 ,    0||   0 ,    0||
5681 ,  169||   0 ,    0||   0 ,    0||  56 ,    2||   0 ,    0||   0 ,    0||
5675 ,  168||   0 ,    0||   0 ,    0||  56 ,    2||   0 ,    0||   0 ,    0||
5227 ,  154||   0 ,    0||   0 ,    0|| 480 ,   33||   0 ,    0||   0 ,    0||
4900 ,  147|| 418 ,   12||   0 ,    0|| 337 ,   73||   0 ,    0||   0 ,    0||
4655 ,  150|| 724 ,   23||   0 ,    0|| 216 ,  110||   0 ,    0||   0 ,    0||
4466 ,  162|| 945 ,   36||   0 ,    0|| 138 ,  119||   0 ,    0||   0 ,    0||
4322 ,  177||1103 ,   51||   0 ,    0||  88 ,  113||   0 ,    0||   0 ,    0||
4210 ,  193||1154 ,   66||  58 ,    2||  57 ,  101||   0 ,    0||   0 ,    0||
4122 ,  207||1182 ,   85|| 102 ,    5||  36 ,   87||   0 ,    0||   0 ,    0||
4051 ,  222||1193 ,  106|| 136 ,    7||  23 ,   72||   0 ,    0||   0 ,    0||
4248 ,  262|| 976 ,  108|| 128 ,    7||  13 ,   52||   0 ,    0||   0 ,    0||
4364 ,  294|| 664 ,   92|| 298 ,   21||   7 ,   37||   0 ,    0||   0 ,    0||
4429 ,  319|| 453 ,   74|| 417 ,   38||   4 ,   26||   0 ,    0||   0 ,    0||
4461 ,  339|| 310 ,   57|| 493 ,   62||   2 ,   18||   0 ,    0||   0 ,    0||
4684 ,  380|| 183 ,   36|| 363 ,   64||   1 ,   10||   0 ,    0||   0 ,    0||
4799 ,  411|| 109 ,   22|| 290 ,   65||   1 ,    6||   0 ,    0||   0 ,    0||
4851 ,  434||  65 ,   13|| 251 ,   64||   0 ,    3||   0 ,    0||   0 ,    0||
4868 ,  452||  39 ,    8|| 231 ,   63||   0 ,    2||   0 ,    0||   0 ,    0||
5075 ,  513||   0 ,    0||   0 ,    0||   0 ,    0||   0 ,    0||  44 ,    9||
